-1.0019999743	-0.0000146288
-0.9306666851	0.0000615816
-0.8693333268	0.0000495460
-0.7993333340	0.0000213058
-0.7326666713	0.0000931039
-0.6679999828	0.0001163909
-0.5979999900	0.0001802943
-0.5313333273	0.0002291911
-0.4673333466	0.0005110101
-0.3980000019	0.0009784003
-0.3313333392	0.0017441707
-0.2660000026	0.0026231406
-0.2006666660	0.0030932287
-0.1333333403	0.0014210866
-0.0659999996	-0.0027263195
0.0006666667	-0.0066151978
0.0686666667	-0.0069521065
0.1319999993	-0.0032744894
0.2020000070	0.0020792549
0.2639999986	0.0039348491
0.3346666694	0.0025137477
0.4000000060	-0.0000261442
0.4659999907	-0.0015338211
0.5339999795	-0.0009799819
0.6006666422	0.0005753251
0.6660000086	0.0012853629
0.7340000272	0.0006480321
0.8006666899	0.0000458133
0.8666666746	-0.0000872917
0.9346666932	0.0002240227
1.0000000000	0.0003793369
1.0633333921	0.0002477289
1.1346666813	0.0000100300
1.1993333101	-0.0000650206
1.2646666765	0.0000527822
1.3306666613	0.0000078548
1.3993333578	0.0000362812
1.4673333168	-0.0000776809
1.5340000391	-0.0000323575
1.6000000238	0.0000011065
1.6660000086	-0.0000075063
1.7313333750	0.0000984833
1.7986667156	0.0000636453
1.8673332930	0.0000396624
1.9340000153	0.0000603130
1.9980000257	-0.0001420252
2.0666666031	-0.0000631772
2.1313333511	-0.0001329848
2.1986665726	0.0000347569
2.2666666508	0.0000418458
2.3320000172	-0.0000258404
2.3986666203	-0.0000504944
2.4653332233	-0.0000708957
2.5306665897	-0.0000327665
2.5993332863	0.0000117708
